Namibia,35,,,2097.9,8672,205.3333333,,,,,1079,1062.5,,713.4285714,,20,,9000,408,,5200,7377.615385,3361.615385,3284,,0,1480,377.5,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,42,9.2,32.42857143,67.33333333,80.5,79.5,61.5,,,,,,,,,,,,,
Netherlands,8021.25,36164.84178,40450.70411,38548.21256,32663.66332,37634.31812,46829.59685,35253.47016,44880.93578,48035.32214,45284.30908,46922.40598,55584.67478,41786.75055,43973.34366,21922.28059,26960.67423,26166.74067,30551.66886,32975.34722,31967.45934,31749.80296,29348.36635,25378.34185,26457.80753,23727.14895,31753.08277,30891.54906,26940.88546,28902.26753,27763.2453,32559.44253,29384.37751,29056.92575,41290.51652,35327.75688,95.76154775,89.59396975,91.887871,87.54604725,87.86765925,86.315715,80.74013675,84.82787975,80.8511575
New Caledonia,,,,,,,,,,,,,,,,,,,609,,,,,810,,754,,,948,893,,1474,,1945,2076,,,,,,,,,,
New Zealand,118,94.66666667,111.3333333,132,126,399,300285.5,398.3333333,4543.75,25637,5587.666667,5959.666667,20043.83333,6755.666667,4680,9488.769231,2612.25,1419.02,1926.466667,8205.291667,9023.654839,5796.35,8461.761905,11194.4375,10279.75,12270.6875,10218.875,9720.75,8879.75,6296.625,13532.33333,890,950,1845.785714,78.30769231,2367.769231,317,5120.153846,2240.153846,13.91666667,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,,15,,,15,,10,,,
Niger,,,,,,,,,,,,400,,,,1600,,,,,,25,15,20,,0,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,8998.25,,,189.25,11946.81818,16931.52941,21067.23077,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,24,,,,,,,,,,,,,,,,,44,,69,,,,,160,,,,,,,,,,,,,,,,,
Norway,351.2160759,1709.387011,1463.408506,1826.597386,4146.416842,6213.925294,4338.163134,3591.619917,2866.430199,4035.305996,4387.580094,6309.112313,2072.953911,3606.73376,4313.03351,839.7655156,1054.851521,1594.176123,1106.429636,1125.633236,1318.11612,732.1747737,825.8414275,784.9264005,510.9772799,1888.885774,674.8356078,826.1664008,655.1052213,1248.563784,61.8605238,82.38335782,213.2612588,230.2047203,37.69403275,45.395482,44.40783155,47.82895733,46.12123467,43.75305067,47.690934,46.40193433,45.47457,47.52809,45.161908
Pakistan,470,,,,,,,,734,127.5,120,325,366.5,143,62.33333333,38,51.2,96.66666667,64.5,74,25.5,20,29.58333333,30.66666667,26.25,201.75,143,44,27.15625,60.5,52,4.125,2,0,,,,,,,,,,,
Peru,,,300,,275,,14050,,5630,,147,,,,,,10000,,500,,205,11000,,3300,,,7.906,8.8037,5.682486667,,,106.165175,201.23,286.855,314.24,326.575,753.77,848.6266667,405.745,,,,,,
